WKT,name,description
"LINESTRING (106.674217 10.7609453, 106.6731193 10.7607854, 106.6688898 10.759877, 106.6615095 10.7583902)",CTT,
"LINESTRING (106.6624214 10.7553358, 106.666243 10.7562306)",HB,
"LINESTRING (106.6670984 10.7677552, 106.6688898 10.759877, 106.669411 10.7576912)",NTP,
"LINESTRING (106.669411 10.7576912, 106.6688898 10.759877, 106.6670984 10.7677552)",NTP,
"LINESTRING (106.666243 10.7562306, 106.6688898 10.759877, 106.6722463 10.7646464, 106.6744063 10.7677093)",NGT,
"LINESTRING (106.6744063 10.7677093, 106.6722463 10.7646464, 106.6688898 10.759877, 106.666243 10.7562306)",NGT,
"LINESTRING (106.6599147 10.7638529, 106.6670984 10.7677552, 106.667866 10.7681353, 106.6707573 10.7696797, 106.6731347 10.7709912, 106.6796514 10.7750794, 106.6816339 10.7779328)",3/2,
"LINESTRING (106.6816339 10.7779328, 106.6796514 10.7750794, 106.6731347 10.7709912, 106.6707573 10.7696797, 106.667866 10.7681353, 106.6670984 10.7677552, 106.6599147 10.7638529)",3/2,
"LINESTRING (106.667866 10.7681353, 106.6715014 10.7678246, 106.6744063 10.7677093, 106.6786427 10.7663809, 106.6816975 10.765487)",LTT,
"LINESTRING (106.6816975 10.765487, 106.6786427 10.7663809, 106.6744063 10.7677093, 106.6715014 10.7678246, 106.667866 10.7681353)",LTT,
"LINESTRING (106.6816975 10.765487, 106.6764117 10.7622383, 106.674217 10.7609453, 106.6732615 10.7601767, 106.669411 10.7576912, 106.666243 10.7562306)",HV,
"LINESTRING (106.6731347 10.7709912, 106.6744063 10.7677093, 106.6764117 10.7622383)",LHP,
"LINESTRING (106.6764117 10.7622383, 106.6744063 10.7677093, 106.6731347 10.7709912)",LHP,
"LINESTRING (106.6744063 10.7677093, 106.6771568 10.771153, 106.6836848 10.776714, 106.684891 10.7778456, 106.6860728 10.7789471, 106.6872569 10.7800645, 106.6884447 10.7812392, 106.6896413 10.7823729, 106.690754 10.7833938, 106.6916309 10.7843294)",DBP,
"LINESTRING (106.6937868 10.7824264, 106.6929128 10.781477, 106.6918261 10.7803444, 106.6906857 10.7791408, 106.6895504 10.7779202, 106.688454 10.7767546, 106.6868079 10.7750351, 106.6786427 10.7663809)",NDC,
"LINESTRING (106.6816975 10.765487, 106.6893919 10.773613, 106.6905301 10.7748378, 106.6916172 10.7760202, 106.6930191 10.7774977, 106.6938679 10.7784747, 106.6949569 10.7795872, 106.6958407 10.7805383)",NTMK,
"LINESTRING (106.6905301 10.7748378, 106.6893919 10.773613, 106.6816975 10.765487)",NTMK,
"LINESTRING (106.6816339 10.7779328, 106.6821346 10.7794107, 106.6828599 10.7809253, 106.683602 10.7824952, 106.6844795 10.784357)",LCT,
"LINESTRING (106.6899894 10.7858998, 106.6891104 10.7849467, 106.6880527 10.783869, 106.6868386 10.782702, 106.6853848 10.7812634, 106.6842808 10.7800695, 106.6830846 10.7788893, 106.6816339 10.7779328)",VTS,
"LINESTRING (106.6827446 10.7772709, 106.683957 10.7783459, 106.685162 10.7795558, 106.6863034 10.7806732, 106.6876472 10.7819598, 106.6888093 10.7831215, 106.6899709 10.7841993)",TX,
"LINESTRING (106.6899709 10.7841993, 106.6888093 10.7831215, 106.6876472 10.7819598, 106.6863034 10.7806732, 106.685162 10.7795558, 106.683957 10.7783459, 106.6827446 10.7772709)",TX,
"LINESTRING (106.6917987 10.7824649, 106.6907078 10.7813803, 106.6895186 10.7801914, 106.688347 10.7790192, 106.6872203 10.7778838, 106.6861138 10.77678, 106.6852412 10.7758679)",NTN,
"LINESTRING (106.6852412 10.7758679, 106.6861138 10.77678, 106.6872203 10.7778838, 106.688347 10.7790192, 106.6895186 10.7801914, 106.6907078 10.7813803, 106.6917987 10.7824649)",NTN,
"LINESTRING (106.6988645 10.7777825, 106.697996 10.7768149, 106.6970421 10.7757631, 106.6960781 10.7747567, 106.6944721 10.7736168, 106.6922423 10.7720958)",ND,
"LINESTRING (106.6933329 10.7715117, 106.6954558 10.7728152, 106.6981354 10.7748571, 106.6990291 10.7758471, 106.699914 10.7767358)",LTT,
"LINESTRING (106.699914 10.7767358, 106.6988645 10.7777825, 106.6973448 10.779168, 106.6958407 10.7805383, 106.6948197 10.7814516, 106.6937868 10.7824264, 106.6916309 10.7843294, 106.6899894 10.7858998)",PT,
